"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","29-Jun-2020","       1741.65","       1728.05","       1739.75","       1715.55","       1722.70","       1723.15","       1724.38","   11825126","         20391055541.05","     225499","    4609009","         38.98"
"RELIANCE","EQ","30-Jun-2020","       1723.15","       1737.00","       1741.00","       1695.55","       1707.50","       1704.10","       1718.10","   13973038","         24007093966.15","     277133","    5567451","         39.84"
"RELIANCE","EQ","01-Jul-2020","       1704.10","       1720.00","       1749.00","       1708.05","       1736.25","       1737.60","       1730.01","   13136706","         22726570310.95","     256982","    3073568","         23.40"
"RELIANCE","EQ","02-Jul-2020","       1737.60","       1743.00","       1767.60","       1735.05","       1759.50","       1760.35","       1755.20","   13286760","         23320864112.30","     262833","    3239259","         24.38"
"RELIANCE","EQ","03-Jul-2020","       1760.35","       1779.80","       1793.00","       1768.00","       1788.00","       1787.90","       1781.69","   13584004","         24202508199.65","     254096","    3420711","         25.18"
"RELIANCE","EQ","06-Jul-2020","       1787.90","       1805.00","       1858.00","       1792.10","       1855.00","       1851.80","       1832.66","   21698149","         39765301081.35","     442095","    5644923","         26.02"
"RELIANCE","EQ","07-Jul-2020","       1851.80","       1860.00","       1864.35","       1806.30","       1822.15","       1823.45","       1831.78","   16240102","         29748224129.05","     386666","    4751023","         29.25"
"RELIANCE","EQ","08-Jul-2020","       1823.45","       1824.05","       1834.95","       1790.00","       1795.40","       1798.00","       1812.33","   12093523","         21917489258.65","     285951","    4348610","         35.96"
"RELIANCE","EQ","09-Jul-2020","       1798.00","       1809.00","       1835.00","       1786.25","       1826.75","       1824.25","       1813.36","   16807403","         30477877599.50","     352813","    4527046","         26.93"
"RELIANCE","EQ","10-Jul-2020","       1824.25","       1828.50","       1884.60","       1824.25","       1880.20","       1878.05","       1859.58","   20195490","         37555184971.70","     455198","    4248376","         21.04"
"RELIANCE","EQ","13-Jul-2020","       1878.05","       1903.35","       1947.70","       1900.00","       1938.70","       1935.00","       1927.07","   32124397","         61905840822.60","     615947","    6448206","         20.07"
"RELIANCE","EQ","14-Jul-2020","       1935.00","       1934.00","       1941.70","       1887.30","       1915.00","       1917.00","       1917.96","   31073591","         59597787128.70","     569875","    8520789","         27.42"
"RELIANCE","EQ","15-Jul-2020","       1917.00","       1937.95","       1978.80","       1798.00","       1842.35","       1844.00","       1917.63","   64458598","        123607955323.25","    1285533","   10789672","         16.74"
"RELIANCE","EQ","16-Jul-2020","       1844.00","       1847.00","       1869.00","       1812.45","       1842.05","       1843.40","       1844.01","   28133993","         51879421165.65","     543130","    6562839","         23.33"
"RELIANCE","EQ","17-Jul-2020","       1843.40","       1845.00","       1920.00","       1838.00","       1916.00","       1911.70","       1876.25","   22949535","         43059161082.30","     487421","    4591431","         20.01"
"RELIANCE","EQ","20-Jul-2020","       1911.70","       1917.80","       1932.00","       1899.65","       1921.95","       1919.90","       1916.93","   16887752","         32372604466.20","     339625","    3836078","         22.72"
"RELIANCE","EQ","21-Jul-2020","       1919.90","       1939.00","       1977.00","       1936.50","       1973.50","       1971.55","       1962.43","   19463498","         38195689330.00","     375090","    5672596","         29.14"
"RELIANCE","EQ","22-Jul-2020","       1971.55","       1983.00","       2010.00","       1960.70","       2004.00","       2004.00","       1993.46","   27584769","         54989120616.60","     547567","    8711054","         31.58"
"RELIANCE","EQ","23-Jul-2020","       2004.00","       2003.95","       2079.70","       1991.35","       2076.00","       2057.80","       2035.95","   26921058","         54810058387.90","     498584","    9589647","         35.62"
"RELIANCE","EQ","24-Jul-2020","       2057.80","       2058.00","       2163.00","       2057.80","       2148.40","       2146.15","       2128.53","   55656793","        118466876312.35","    1078097","   12522509","         22.50"
"RELIANCE","EQ","27-Jul-2020","       2146.15","       2178.80","       2198.80","       2127.90","       2154.95","       2156.20","       2169.68","   37060949","         80410276311.85","     781374","    5262824","         14.20"
"RELIANCE","EQ","28-Jul-2020","       2156.20","       2156.20","       2194.00","       2150.65","       2177.00","       2177.70","       2175.67","   25435618","         55339580393.80","     528044","    5577191","         21.93"
"RELIANCE","EQ","29-Jul-2020","       2177.70","       2177.90","       2182.80","       2070.45","       2092.00","       2096.65","       2124.29","   33536361","         71241119089.50","     738739","    9443206","         28.16"
"RELIANCE","EQ","30-Jul-2020","       2096.65","       2099.00","       2139.70","       2072.00","       2101.90","       2108.85","       2111.03","   33624516","         70982380956.40","     663693","    6855972","         20.39"
"RELIANCE","EQ","31-Jul-2020","       2108.85","       2114.50","       2129.00","       2052.80","       2070.00","       2067.10","       2077.02","   34593375","         71851185919.55","     748942","    9000404","         26.02"
"RELIANCE","EQ","03-Aug-2020","       2067.10","       2051.30","       2057.00","       2003.10","       2007.65","       2009.00","       2029.05","   21560137","         43746668081.00","     515571","    6839066","         31.72"
"RELIANCE","EQ","04-Aug-2020","       2009.00","       2020.60","       2167.00","       2000.25","       2158.40","       2150.60","       2098.08","   42477225","         89120494925.40","     827312","    7253795","         17.08"
"RELIANCE","EQ","05-Aug-2020","       2150.60","       2169.00","       2196.00","       2118.30","       2132.10","       2126.45","       2153.72","   34405886","         74100545221.95","     704272","    3949479","         11.48"
"RELIANCE","EQ","06-Aug-2020","       2126.45","       2157.00","       2167.70","       2107.80","       2136.55","       2134.10","       2139.59","   22762726","         48702811222.25","     468092","    3095157","         13.60"
"RELIANCE","EQ","07-Aug-2020","       2134.10","       2129.80","       2157.80","       2120.20","       2146.00","       2146.45","       2141.31","   15222384","         32595833725.75","     329099","    3705643","         24.34"
"RELIANCE","EQ","10-Aug-2020","       2146.45","       2159.10","       2165.00","       2108.10","       2121.60","       2119.85","       2136.58","   12441939","         26583161118.75","     300073","    2893247","         23.25"
"RELIANCE","EQ","11-Aug-2020","       2119.85","       2134.80","       2160.00","       2100.35","       2132.85","       2133.80","       2133.30","   21611359","         46103431136.35","     491594","    4174558","         19.32"
"RELIANCE","EQ","12-Aug-2020","       2133.80","       2121.00","       2145.00","       2106.80","       2126.55","       2127.60","       2129.79","   13967529","         29747858193.40","     308155","    2213804","         15.85"
"RELIANCE","EQ","13-Aug-2020","       2127.60","       2128.00","       2138.90","       2110.00","       2125.80","       2122.05","       2122.69","   11459251","         24324473969.20","     266729","    3601994","         31.43"
"RELIANCE","EQ","14-Aug-2020","       2122.05","       2122.55","       2157.00","       2089.25","       2112.00","       2113.80","       2129.96","   15333759","         32660268151.55","     346390","    2362119","         15.40"
"RELIANCE","EQ","17-Aug-2020","       2113.80","       2105.00","       2105.00","       2070.10","       2094.05","       2091.35","       2085.65","   14297224","         29819054668.20","     324590","    2115024","         14.79"
"RELIANCE","EQ","18-Aug-2020","       2091.35","       2085.00","       2134.30","       2082.35","       2120.20","       2118.55","       2118.58","   14097932","         29867537548.70","     281219","    2559498","         18.16"
"RELIANCE","EQ","19-Aug-2020","       2118.55","       2141.00","       2154.00","       2121.35","       2137.00","       2131.55","       2137.37","   15731409","         33623807598.55","     288995","    2518453","         16.01"
"RELIANCE","EQ","20-Aug-2020","       2131.55","       2120.00","       2123.90","       2088.00","       2098.60","       2097.05","       2109.01","   10402292","         21938504435.85","     267102","    2363592","         22.72"
"RELIANCE","EQ","21-Aug-2020","       2097.05","       2118.00","       2122.00","       2077.00","       2084.75","       2081.85","       2096.99","   11667281","         24466208119.50","     296981","    2236600","         19.17"
"RELIANCE","EQ","24-Aug-2020","       2081.85","       2091.40","       2104.50","       2070.50","       2099.95","       2095.75","       2090.25","   15099030","         31560709786.10","     323471","    2697292","         17.86"
"RELIANCE","EQ","25-Aug-2020","       2095.75","       2106.00","       2111.30","       2078.00","       2082.00","       2082.10","       2089.41","    8947709","         18695434041.15","     202929","    2014450","         22.51"
"RELIANCE","EQ","26-Aug-2020","       2082.10","       2085.00","       2147.95","       2047.00","       2133.70","       2137.30","       2102.41","   27631028","         58091747446.85","     533755","    6707265","         24.27"
"RELIANCE","EQ","27-Aug-2020","       2137.30","       2148.00","       2150.00","       2103.25","       2108.10","       2110.60","       2126.98","   12962139","         27570185760.10","     297474","    3408902","         26.30"
"RELIANCE","EQ","28-Aug-2020","       2110.60","       2120.00","       2132.90","       2106.25","       2116.00","       2116.15","       2118.85","   12537684","         26565452934.10","     267973","    2828812","         22.56"
"RELIANCE","EQ","31-Aug-2020","       2116.15","       2174.00","       2174.00","       2060.35","       2070.00","       2080.70","       2118.64","   28649141","         60697216688.85","     541760","    7212259","         25.17"
"RELIANCE","EQ","01-Sep-2020","       2080.70","       2100.00","       2122.40","       2062.40","       2092.00","       2087.25","       2091.83","   17821488","         37279521464.50","     327904","    4956555","         27.81"
"RELIANCE","EQ","02-Sep-2020","       2087.25","       2092.00","       2138.00","       2085.00","       2128.55","       2128.20","       2119.29","   12437209","         26358056792.85","     281041","    3376204","         27.15"
"RELIANCE","EQ","03-Sep-2020","       2128.20","       2128.00","       2138.75","       2103.00","       2114.00","       2112.10","       2112.86","    8577741","         18123586030.30","     219117","    3249170","         37.88"
"RELIANCE","EQ","04-Sep-2020","       2112.10","       2083.55","       2096.95","       2072.20","       2080.00","       2077.25","       2084.73","   13141705","         27396936570.55","     365456","    5968727","         45.42"
"RELIANCE","EQ","07-Sep-2020","       2077.25","       2084.00","       2105.75","       2044.25","       2099.60","       2082.65","       2071.80","   10119099","         20964707499.00","     255801","    2619452","         25.89"
"RELIANCE","EQ","08-Sep-2020","       2082.65","       2092.00","       2121.00","       2080.50","       2103.10","       2107.10","       2108.01","   12643762","         26653239816.40","     287150","    2734033","         21.62"
